h	k	q	I(combined)	sigma(combined)
1	-1	0.111	3696.6	320.8
1	0	0.109	10000.0	97.3
1	1	0.122	723.6	88.9
1	2	0.000	0.0	15.5
1	3	0.182	57.8	3.0
2	-2	0.224	228.0	16.2
2	-1	0.217	5069.4	55.8
2	0	0.218	1576.1	26.9
2	1	0.228	1149.2	20.9
2	2	0.246	515.3	13.8
2	3	0.270	201.6	1.5
2	4	0.298	60.8	3.0
2	5	0.329	31.7	8.5
2	6	0.363	16.9	2.8
3	-2	0.326	858.5	42.2
3	-1	0.324	1953.6	35.7
3	0	0.326	144.0	10.1
3	1	0.000	0.0	50.5
3	2	0.350	110.3	5.4
3	3	0.368	222.0	5.1
3	4	0.392	100.0	2.5
3	5	0.418	91.2	2.2
3	6	0.446	30.9	4.4
4	-3	0.437	529.8	29.8
4	-2	0.432	1832.3	46.1
4	-1	0.431	510.3	40.4
4	0	0.435	262.8	3.2
4	1	0.443	51.9	8.2
4	2	0.456	97.4	5.4
4	3	0.000	0.0	4.3
4	4	0.493	9.1	1.7
4	5	0.514	17.1	1.6
4	6	0.539	6.3	7.0
5	-3	0.541	243.2	19.2
5	-2	0.539	266.1	7.3
5	-1	0.540	56.0	3.0
5	0	0.544	42.7	0.7
5	1	0.551	40.6	2.3
6	-4	0.652	34.9	2.4
6	-3	0.648	35.3	2.0
6	-2	0.646	14.7	2.6
6	-1	0.648	11.9	2.2
6	0	0.653	11.7	0.9
6	1	0.660	15.0	1.1
6	2	0.000	0.0	0.9
6	3	0.684	12.1	0.6
6	4	0.700	11.4	0.8
7	-4	0.757	99.4	2.7
7	-3	0.754	66.1	3.3
7	-2	0.754	17.9	8.7
7	-1	0.756	12.8	1.3
7	0	0.760	7.9	0.4
8	0	0.000	0.0	0.7
9	-5	0.975	37.2	7.0
9	-4	0.973	31.4	5.6
9	-3	0.000	0.0	11.0
9	-2	0.973	9.1	2.6
9	-1	0.000	0.0	2.8
9	0	0.981	4.8	2.8
